Source Target Total Count
1 33 25962.0 2
1 165 18.0 1
4 404 514.0 1
4 488 2052.0 2
33 1475 2960.0 2
33 1478 6385.0 9
33 1487 7649.0 5
33 1509 8861.0 13
33 1516 259.0 1
33 1544 6091.0 14
33 1550 4418.0 2
33 1558 4295.0 3
33 1069 69499.0 53
33 1579 58214.0 6
33 1605 224720.0 63
33 1638 8045.0 10
33 1639 7599.0 7
33 763 4012.0 8
33 1642 354070.0 80
33 1648 24214.0 8
33 1650 2965.0 9
33 1664 6555.0 10
33 1683 1177.0 3
33 1684 4363.0 1
33 1695 5407.0 1
33 1709 4070.0 5
33 1713 2008.0 4
33 1715 25370.0 20
33 1722 6004.0 10
33 1736 23673.0 6
33 1744 3285.0 5
33 1757 2040.0 3
33 1775 287.0 5
33 1790 5358.0 2
33 1795 55866.0 77
33 1799 1932.0 3
33 1802 95.0 2
33 1806 1131950.0 896
33 1815 679331.0 143
33 1830 32541.0 6
33 766 21065.0 19
33 1841 2845.0 2
33 1846 39611.0 13
33 1849 18105.0 11
33 1868 11018.0 8
33 1880 23736.0 37
33 1887 8305.0 5
33 1899 6614.0 32
33 1900 459867.0 19
33 767 63491.0 61
33 1910 492.0 1
33 1920 10577.0 1
33 1939 2398.0 2
33 1978 287.0 2
33 1997 7295.0 2
33 2004 70462.0 25
33 2010 8570.0 5
33 2058 7000.0 2
33 2062 451835.0 208
33 2069 2939.0 2
33 2070 16187.0 17
33 2087 26096.0 5
33 2089 32022.0 6
33 2090 8713.0 10
33 2092 8423.0 14
33 2095 2200.0 2
33 2097 45976.0 99
33 2104 1846.0 1
33 2121 741.0 1
33 2124 19875.0 29
33 2140 3245.0 4
33 2144 118.0 1
33 2151 3131.0 10
33 2172 41207.0 63
33 2188 239.0 1
33 2202 24273.0 11
33 2203 4895.0 5
33 2206 29635.0 17
33 2234 13883.0 11
33 2236 6000.0 2
33 2256 978.0 1
33 2281 4386.0 3
33 2300 128478.0 105
33 2335 10206.0 10
33 2337 11038.0 12
33 2343 26750.0 5
33 2348 20.0 1
33 2370 1140381.0 136
33 2383 5983.0 6
33 1106 11955.0 113
33 2424 5068.0 2
33 2440 63876.0 31
33 2461 1446.0 2
33 2473 6891.0 7
33 2483 14354.0 27
33 2489 498.0 2
33 2494 3926.0 11
33 2500 4275.0 6
33 2524 8000.0 2
33 776 2593.0 2
33 2533 47644.0 67
33 2543 1499.0 1
33 778 3329.0 2
33 2564 7741.0 16
33 2583 3652.0 19
33 2585 3277.0 1
33 2621 185000.0 3
33 2631 3439.0 1
33 2635 5033.0 1
33 2649 10114.0 25
33 2658 287.0 1
33 2699 212976.0 865
33 2709 12737.0 5
33 2711 71182.0 38
33 2719 2419.0 4
33 2721 3135.0 1
33 2728 4520.0 10
33 2736 407.0 1
33 2739 378396.0 22
33 2759 8151.0 3
33 2777 12801.0 3
33 2799 6651.0 8
33 2805 5876.0 2
33 2811 57635.0 42
33 2815 1986.0 3
33 2816 1169981.0 215
33 2828 41431.0 12
33 2858 4042.0 6
33 2860 4499.0 6
33 2868 3934.0 6
33 2869 3924.0 2
33 2880 29706.0 3
33 2881 246577.0 45
33 2885 1000.0 1
33 2915 2791.0 7
33 780 496188.0 336
33 2950 90695.0 30
33 2960 874098.0 146
33 2980 709.0 1
33 2982 12532.0 12
33 2986 1000.0 1
33 2987 1744.0 4
33 3003 276134.0 176
33 3051 15671.0 7
33 3052 499322.0 21
33 3066 1059.0 2
33 3130 2029.0 11
33 3131 2634.0 23
33 3138 153310.0 2
33 3143 15690.0 24
33 3148 128681.0 101
33 3163 79965.0 43
33 3170 68805.0 5
33 3171 56371.0 6
33 3185 1961.0 5
33 3187 3682.0 3
33 1130 113201.0 8
33 3219 2537.0 2
33 3223 880.0 11
33 3228 1986.0 5
33 3236 5747.0 8
33 3253 14663.0 2
33 3259 1000.0 1
33 3267 6345.0 16
33 3269 3838.0 11
33 3278 4000.0 2
33 3295 7655.0 3
33 3316 2543.0 10
33 3323 4707.0 4
33 3328 1258.0 2
33 3331 19886.0 6
33 3341 32638.0 2
33 3343 300263.0 99
33 3361 28795.0 3
33 3367 13907.0 3
33 3371 676988.0 275
33 3394 21609.0 15
33 3396 443.0 2
33 3400 1906.0 6
33 943 4339.0 2
33 3409 17347.0 6
33 3412 7243.0 4
33 3424 9372.0 3
33 3427 1217.0 1
33 3435 18467.0 14
33 3444 2205.0 2
33 3454 3324.0 1
33 3457 5229.0 16
33 3461 214621.0 51
33 3465 5165.0 1
33 3471 34576.0 2
33 3482 32941.0 28
33 3488 100730.0 2
33 3489 12310.0 27
33 3494 34423.0 17
33 3509 2000.0 2
33 3510 89910.0 45
33 3538 2628.0 1
33 3563 26351.0 65
33 3577 2860.0 29
33 3578 3363.0 4
33 3624 16125.0 2
33 3633 1510.0 3
33 3664 2901.0 2
33 3684 5902.0 2
33 3692 93522.0 75
