Id,in_degree,out_degree,in_strength_total,out_strength_total,in_strength_count,out_strength_count
1,3,2,761409.0,25980.0,248,3
33,1550,1019,1474403077.0,111365415.0,463457,46249
165,468,129,1532645.0,24525.0,19101,213
4,12,2,327099.0,2566.0,1061,3
404,1,1,514.0,8046.0,1,22
488,1,4,2052.0,52466.0,2,90
1475,11,17,1209292.0,270676.0,1456,358
1478,4,18,49840.0,1768053.0,109,1173
1487,6,24,18534.0,418530.0,15,546
1509,10,17,361766.0,1307855.0,316,748
1516,7,19,1660772.0,317252.0,635,235
1544,8,10,21242.0,714248.0,62,865
1550,8,15,126764.0,473118.0,165,625
1558,3,5,5487.0,354225.0,7,145
1069,11,18,93309.0,2929360.0,80,927
1579,4,6,83584.0,726568.0,15,560
1605,7,15,913310.0,704165.0,174,1112
1638,9,13,61274.0,1642356.0,106,612
1639,6,10,848694.0,2481110.0,254,1244
763,8,18,145771.0,1786098.0,341,645
1642,5,18,370205.0,2535994.0,91,717
1648,12,23,345669.0,2348216.0,160,1493
1650,5,11,3443600.0,1097615.0,522,724
1664,5,12,714863.0,3068295.0,1084,1095
1683,2,14,2406.0,489252.0,5,1035
1684,13,15,1690866.0,289278.0,1515,302
1695,8,11,44842.0,356604.0,16,184
1709,5,7,7676.0,479215.0,20,606
1713,5,18,32756.0,557831.0,89,403
1715,4,11,133759.0,1989994.0,152,1077
1722,8,16,17335.0,1044500.0,48,480
1736,4,12,25474.0,2763580.0,17,262
1744,4,9,216610.0,515388.0,195,250
1757,8,12,52097.0,1118226.0,63,748
1775,6,9,32702.0,640058.0,95,510
1790,7,11,40869.0,2188933.0,46,1022
1795,11,17,3147688.0,4659771.0,1776,2000
1799,6,10,4780.0,245712.0,21,450
1802,7,9,735463.0,722242.0,49,140
1806,8,10,1311147.0,857841.0,1231,673
1815,10,24,772638.0,2896793.0,167,734
1830,10,27,778519.0,2037259.0,118,1168
766,10,6,47024.0,757202.0,109,671
1841,8,9,36537.0,1416280.0,32,339
1846,12,12,921802.0,11378329.0,343,981
1849,9,14,49183.0,1672890.0,28,605
1868,12,22,88657.0,1995697.0,48,2267
1880,12,28,86117.0,2440469.0,134,1311
1887,6,15,9889.0,827396.0,13,641
1899,4,4,8600.0,279325.0,37,357
1900,6,11,4540457.0,2475197.0,1252,577
767,11,14,800489.0,1331052.0,644,986
1910,5,13,18349.0,2725659.0,7,723
1920,11,7,151032.0,1296598.0,339,1084
1939,10,17,3346832.0,787899.0,3064,714
1978,9,15,956730.0,2231335.0,441,1129
1997,9,16,6455412.0,2126580.0,2676,1143
2004,9,12,218642.0,1502716.0,624,803
2010,8,11,127037.0,754786.0,80,791
