Id,in_degree,out_degree,in_strength_total,out_strength_total,in_strength_count,out_strength_count
0,0,4,0.0,41160.0,0,8
349867,10,7,74689.61,78707.12999999999,18,27
351343,3,12,15750.0,43547.90000000001,7,35
350363,16,21,226726.8,230196.62,33,60
349658,11,34,272574.0,254142.26000000004,55,100
1,0,1,0.0,646.0,0,1
351895,24,16,74850.91,92776.39,65,35
2,0,1,0.0,60.49,0,2
350429,868,324,8034546.580000002,7303243.91,2390,1241
3,0,1,0.0,1884.0,0,2
368751,423,172,3857244.0800000024,2796415.8900000006,962,1067
4,0,1,0.0,111.0,0,1
350243,959,108,1471982.4799999995,1277189.61,2761,205
5,0,1,0.0,456.2,0,1
349495,229,58,406839.23000000004,395420.81,603,497
6,0,1,0.0,2975.0,0,1
368118,4,9,17399.5,103427.26000000001,5,25
7,0,1,0.0,163000.0,0,2
358246,63,80,3612338.62,3222682.82,241,179
8,0,1,0.0,1726.0,0,2
378415,153,10,213360.46,155267.54,372,19
9,0,1,0.0,11523.86,0,7
383100,2,0,11723.86,0.0,8,0
10,0,1,0.0,156.0,0,1
375977,15,152,1328510.8999999997,880538.2600000001,102,284
11,0,2,0.0,2666.0,0,4
349182,1545,449,5461691.530000003,5994059.850000001,5428,5517
349108,634,137,1936677.0999999994,2062751.0299999993,1995,972
12,0,1,0.0,2.09,0,1
351250,2098,242,6391394.6899999995,6634820.88,6006,5435
13,0,1,0.0,35500.0,0,3
359153,14,37,642730.68,485810.62,32,94
14,0,2,0.0,6429.09,0,7
347841,6,1,66185.82999999999,5400.0,17,1
346686,30,7,89187.6,64095.579999999994,56,43
15,0,1,0.0,726.8,0,3
348580,601,299,5803505.549999998,5115505.8199999975,1517,1660
16,0,10,0.0,3946.0,0,31
350053,3329,809,20497619.900000002,18717890.630000006,10991,14147
349067,499,130,2028450.3499999994,2720380.500000001,1337,449
349023,918,60,2534560.8000000003,2874423.6799999997,2754,1177
349078,531,244,1938119.6299999994,1519653.91,1242,1452
351546,2549,265,8170959.810000003,8155636.009999998,8475,9630
349130,901,180,2365457.35,2380737.2399999998,2625,3557
349018,2015,707,8219864.699999996,7064960.9799999995,6930,1941
350520,1188,183,3616160.789999998,4218200.410000001,3803,5036
349222,945,758,2823810.34,3091719.6599999988,2892,1777
17,0,1,0.0,233.78,0,1
353150,47,4,13441.409999999998,3676.29,53,11
18,0,1,0.0,1599.39,0,1
373237,864,205,2122579.5399999986,2655500.480000002,3125,4138
19,0,2,0.0,656.1700000000001,0,2
356844,156,43,1832245.38,2183195.3200000003,348,119
375872,47,41,2778416.3400000003,2661776.52,113,116
20,0,1,0.0,2220.0,0,1
361524,4,6,16519.94,12002.980000000001,5,6
21,0,1,0.0,331.11,0,1
22,0,1,0.0,51406.98,0,3
344591,78,100,5940247.11,5352060.170000001,346,403
23,0,1,0.0,1500.0,0,3
24,0,1,0.0,394.0,0,2
349235,102,88,12076618.109999998,7219826.45,257,196
25,0,1,0.0,2500.0,0,1
368090,338,211,2905654.6199999996,3848425.7199999997,435,595
26,0,1,0.0,702.0,0,3
352400,1551,475,6664355.980000003,4284700.800000002,5387,5837
27,0,6,0.0,11141.0,0,16
348576,768,201,3195670.49,3864132.8300000015,2184,907
349844,490,78,881827.3700000002,1045508.8700000001,1321,1794
357706,34,10,430735.0,109900.90000000001,117,20
357589,396,66,675162.74,624887.9699999999,1155,1611
349200,1417,249,14963446.080000008,16220473.569999997,3984,2591
28,0,1,0.0,1737.0,0,1
350751,605,139,2870662.369999999,3140397.9899999993,1947,2735
29,0,1,0.0,573.0,0,1
379449,309,3,177027.58,203065.0,314,7
30,0,1,0.0,400.0,0,2
345773,7,12,15550.0,25175.06,10,18
31,0,1,0.0,2379.8,0,3
359687,122,95,466136.00999999995,431539.49999999994,328,357
32,0,1,0.0,98253.08,0,1
366456,38,25,2937487.0300000003,2641407.3600000003,65,62
33,0,1,0.0,276.0,0,2
382753,4,5,9529.76,8479.45,8,8
34,0,1,0.0,3000.0,0,2
350859,67,41,162976.62,122729.18000000001,201,87
35,0,1,0.0,64723.73,0,1
348511,349,185,51767127.74000001,45685615.74,597,846
36,0,1,0.0,417.0,0,1
348288,442,85,786840.6000000001,706858.0199999998,1374,1552
37,0,1,0.0,6889.0,0,6
373528,47,7,253360.86000000004,292618.92,153,16
38,0,1,0.0,77.28,0,1
352903,212,50,344388.17,383950.8800000001,578,230
39,0,1,0.0,39.0,0,1
370421,1078,288,1750980.9400000004,1828145.6900000006,3224,2905
40,0,1,0.0,486.87,0,1
349031,254,81,1228116.81,814969.78,634,745
41,0,1,0.0,1308.0,0,2
348413,24,17,644896.6200000001,1212744.2100000002,73,73
42,0,1,0.0,2960.0,0,4
348100,8,12,12195.0,12715.0,34,37
43,0,1,0.0,1729.63,0,3
380356,103,68,1686727.8900000006,1166662.36,184,138
44,0,2,0.0,1709.0,0,2
355166,1908,300,5475887.839999999,5007528.290000001,6847,1024
349456,1549,199,2991468.3899999987,3006231.05,4876,6550
45,0,1,0.0,135.0,0,2
349470,4,12,5525.0,5496.72,7,21
46,0,1,0.0,135383.25,0,2
366765,6,30,792566.2000000001,456081.08999999997,10,86
47,0,1,0.0,25.51,0,1
350582,168,108,817424.7999999999,792615.99,395,257
48,0,1,0.0,1600.0,0,1
362799,5,23,84320.0,78895.99,8,42
49,0,1,0.0,40.0,0,1
364935,12,6,11820.0,6868.32,31,11
50,0,2,0.0,5382.08,0,5
369220,82,72,424611.0,173936.69000000003,214,125
372003,10,2,4595.48,1900.0,20,2
51,0,1,0.0,325.0,0,3
354155,18,0,6123.0,0.0,46,0
52,0,1,0.0,1168.95,0,4
53,0,1,0.0,57.26,0,1
351436,35,40,464656.11,537324.79,182,169
54,0,1,0.0,735.56,0,1
354473,203,74,2227241.39,2223950.419999999,947,287
55,0,1,0.0,550.0,0,3
349157,1354,264,4520281.839999999,4962783.110000001,4120,4711
56,0,1,0.0,341.33,0,3
351131,613,127,939800.1900000002,1022676.0400000004,1484,2855
57,0,1,0.0,5083.68,0,1
350119,166,178,10732379.200000003,10761732.799999993,344,380
58,0,1,0.0,710.45,0,1
348568,106,75,250025.84000000003,183482.55999999997,294,181
59,0,1,0.0,5657.57,0,1
353097,161,163,13265259.369999995,12249420.57,193,393
60,0,1,0.0,42878.07,0,1
347497,4,4,358178.07,232800.5,17,5
61,0,1,0.0,2998.98,0,2
349586,4833,403,10587969.620000003,11539570.330000013,16181,13437
62,0,1,0.0,3699.99,0,1
353668,293,177,3667328.7000000053,3507872.780000016,491,223
63,0,1,0.0,1499.22,0,1
383889,2,0,1779.22,0.0,2,0
64,0,1,0.0,93.0,0,1
353128,1306,58,1406751.0200000014,1277257.78,3827,119
65,0,1,0.0,1000.0,0,1
66,0,3,0.0,2894.2,0,7
348959,914,252,3841147.539999999,2620517.8400000012,3271,3297
374645,524,60,2255003.810000001,1353425.6700000004,1627,1747
