,in_degree,out_degree,in_strength_total,out_strength_total,label
0,133,5555,3855777,226032156,0
1,1,0,15880,0,0
2,3,0,29332,0,0
3,188,28,6322805,690294,0
4,6,0,171353,0,0
5,3,2,5803,78,0
6,1,0,906,0,0
7,1,0,232,0,0
8,1,0,212,0,0
9,1,0,6473,0,0
10,1,0,482,0,0
11,1,0,12939,0,0
12,1,0,11240,0,0
13,1,0,19969,0,0
14,2,0,3161,0,0
15,2,1,8478,157,0
16,1,0,209,0,0
17,1,0,1326,0,0
18,1,0,411,0,0
19,1,0,149,0,0
20,1,1,61,304,0
21,1,1,20344,40272,0
22,1,1,535,1110,0
23,2,0,379,0,0
24,1,0,4568,0,0
25,1,0,688,0,0
26,1,0,18637,0,0
27,1,0,3233,0,0
28,1,0,129,0,0
29,1,0,365,0,0
30,1,0,22,0,0
31,1,0,5051,0,0
32,1,0,15,0,0
33,1,0,10038,0,0
34,1,0,1317,0,0
35,1,1,1056,2136,0
36,1,0,148204,0,0
37,1,0,1521,0,0
38,3,0,1108,0,0
39,2,0,8696,0,0
40,1,0,5179,0,0
41,1,0,1512,0,0
42,1,0,16919,0,0
43,1,0,210,0,0
44,1,0,90078,0,0
45,1,0,58,0,0
46,1,0,5365,0,0
47,1,0,122287,0,0
48,1,0,11417,0,0
49,1,0,1392,0,0
50,1,0,5081,0,0
51,1,0,27,0,0
52,1,0,3969,0,0
53,1,0,13442,0,0
54,1,0,2007,0,0
55,1,0,26,0,0
56,1,0,14281,0,0
57,1,0,251,0,0
58,1,0,420,0,0
59,1,0,1140,0,0
60,1,0,112477,0,0
61,1,0,1424,0,0
62,1,0,341,0,0
63,1,0,1995,0,0
64,1,0,118,0,0
65,1,0,9521,0,0
66,1,0,299,0,0
67,1,0,6829,0,0
68,1,0,4009,0,0
69,1,0,18,0,0
70,1,0,4449,0,0
71,1,0,802,0,0
72,1,0,2860,0,0
73,1,0,162,0,0
74,1,0,4362,0,0
75,1,0,11257,0,0
76,1,0,1839,0,0
77,70,14,3299818,183631,0
78,1,0,1487,0,0
79,1,0,343,0,0
80,1,0,8949,0,0
81,1,0,1280,0,0
82,1,0,418,0,0
83,1,0,54,0,0
84,1,0,653,0,0
85,1,0,1717,0,0
86,1,0,56,0,0
87,1,0,165,0,0
88,1,0,342,0,0
89,1,0,1013,0,0
90,1,0,6,0,0
91,1,0,1186,0,0
92,1,0,29,0,0
93,1,0,178,0,0
94,1,0,111,0,0
95,1,0,2404,0,0
96,1,0,614175,0,0
97,1,0,2046,0,0
98,1,0,196907,0,0
99,1,0,20209,0,0
100,1,0,74595,0,0
101,1,0,39875,0,0
102,1,0,78072,0,0
103,1,0,1034,0,0
104,1,0,3509,0,0
105,2,0,4934,0,0
106,1,1,238060,892,0
107,1,0,462,0,0
108,1,0,955,0,0
109,1,0,878,0,0
110,1,0,11434,0,0
111,1,0,732,0,0
112,1,0,452,0,0
113,1,0,3292,0,0
114,1,0,78,0,0
115,1,0,140,0,0
116,1,0,5860,0,0
117,1,0,1722,0,0
118,1,0,1060,0,0
119,1,0,566039,0,0
120,1,0,1179,0,0
121,1,0,50325,0,0
122,1,0,98,0,0
123,1,0,4027,0,0
124,1,0,69956,0,0
125,1,0,9809,0,0
126,1,0,1110,0,0
127,1,0,502,0,0
128,1,0,3151,0,0
129,1,1,30805,41,0
130,1,0,19,0,0
131,1,0,274,0,0
132,1,0,1597,0,0
133,1,0,2905,0,0
134,1,0,291,0,0
135,1,0,3546,0,0
136,1,0,88659,0,0
