,f_degree_in,f_degree_out,f_amount_in,f_amount_out,f_nr_trans_in,f_nr_trans_out,f_ego_nr_nodes,f_ego_nr_edges,f_egored_degree_in,f_egored_degree_out,f_egored_amount_in,f_egored_amount_out,f_egored_nr_trans_in,f_egored_nr_trans_out,f_egored_nr_nodes,f_egored_nr_edges,f_rwalk_start_amount,f_rwalk_transfer_out,f_rwalk_out_back,f_rwalk_out_back_max,f_rwalk_end_amount,f_rwalk_transfer_in,f_rwalk_in_back,f_rwalk_in_back_max
0,133.0,5555.0,3855777.0,226032156.0,133.0,5555.0,5652.0,5667.0,42.0,57.0,1462285.0,2611095.0,42.0,57.0,63.0,78.0,58325.27,58317.94,0.0,0.0,30279.11,21044.29,574.42,7856.0
1,1.0,0.0,15880.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15880.0,2880.67,0.0,0.0
2,3.0,0.0,29332.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9753.6,1577.58,0.0,0.0
3,188.0,28.0,6322805.0,690294.0,188.0,28.0,207.0,209.0,15.0,10.0,2138147.0,470605.0,15.0,10.0,16.0,18.0,27656.2,3856.39,158.95,2391.0,57554.47,8754.03,46.64,2391.0
4,6.0,0.0,171353.0,0.0,6.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36157.17,3426.47,0.0,0.0
5,3.0,2.0,5803.0,78.0,3.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.68,39.68,0.0,0.0,1843.36,1817.71,0.0,0.0
6,1.0,0.0,906.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.0,548.82,0.0,0.0
7,1.0,0.0,232.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,157.46,0.0,0.0
8,1.0,0.0,212.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,164.99,0.0,0.0
9,1.0,0.0,6473.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6473.0,1843.62,0.0,0.0
10,1.0,0.0,482.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,346.69,0.0,0.0
11,1.0,0.0,12939.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12939.0,2799.96,0.0,0.0
12,1.0,0.0,11240.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11240.0,2425.9,0.0,0.0
13,1.0,0.0,19969.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19969.0,4080.74,0.0,0.0
14,2.0,0.0,3161.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1675.5,801.02,0.0,0.0
15,2.0,1.0,8478.0,157.0,2.0,1.0,3.0,2.0,1.0,1.0,11.0,157.0,1.0,1.0,2.0,1.0,157.0,106.94,1.52,11.0,4069.88,1046.87,0.22,11.0
16,1.0,0.0,209.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,169.16,0.0,0.0
17,1.0,0.0,1326.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326.0,752.89,0.0,0.0
18,1.0,0.0,411.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,296.9,0.0,0.0
19,1.0,0.0,149.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,131.01,0.0,0.0
20,1.0,1.0,61.0,304.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,304.0,279.36,0.0,0.0,61.0,53.86,0.0,0.0
21,1.0,1.0,20344.0,40272.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40272.0,3970.91,0.0,0.0,20344.0,3706.74,0.0,0.0
22,1.0,1.0,535.0,1110.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1110.0,103.93,0.0,0.0,535.0,355.19,0.0,0.0
23,2.0,0.0,379.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,206.0,138.57,0.0,0.0
24,1.0,0.0,4568.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4568.0,1441.7,0.0,0.0
25,1.0,0.0,688.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.0,447.89,0.0,0.0
26,1.0,0.0,18637.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18637.0,4003.23,0.0,0.0
27,1.0,0.0,3233.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3233.0,1465.94,0.0,0.0
28,1.0,0.0,129.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,102.52,0.0,0.0
29,1.0,0.0,365.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,257.87,0.0,0.0
30,1.0,0.0,22.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,20.38,0.0,0.0
31,1.0,0.0,5051.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5051.0,1885.56,0.0,0.0
32,1.0,0.0,15.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.81,0.0,0.0
33,1.0,0.0,10038.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10038.0,2971.95,0.0,0.0
34,1.0,0.0,1317.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1317.0,768.95,0.0,0.0
35,1.0,1.0,1056.0,2136.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2136.0,2136.0,0.0,0.0,1056.0,569.1,0.0,0.0
36,1.0,0.0,148204.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148204.0,7690.52,0.0,0.0
37,1.0,0.0,1521.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1521.0,848.11,0.0,0.0
38,3.0,0.0,1108.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,386.5,378.48,0.0,0.0
39,2.0,0.0,8696.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3762.66,1630.07,0.0,0.0
40,1.0,0.0,5179.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5179.0,1737.19,0.0,0.0
41,1.0,0.0,1512.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1512.0,813.0,0.0,0.0
42,1.0,0.0,16919.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16919.0,3519.33,0.0,0.0
43,1.0,0.0,210.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,150.65,0.0,0.0
44,1.0,0.0,90078.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90078.0,5140.18,0.0,0.0
45,1.0,0.0,58.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,49.94,0.0,0.0
46,1.0,0.0,5365.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5365.0,1800.33,0.0,0.0
47,1.0,0.0,122287.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122287.0,6357.93,0.0,0.0
48,1.0,0.0,11417.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11417.0,2864.58,0.0,0.0
49,1.0,0.0,1392.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.0,778.66,0.0,0.0
50,1.0,0.0,5081.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5081.0,1522.21,0.0,0.0
51,1.0,0.0,27.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,24.48,0.0,0.0
