in_degree,out_degree,in_strength_total,out_strength_total,in_strength_count,out_strength_count,clustering_coefficient,cluster
3,2,761409.0,25980.0,248,3,0.0,0
1550,1019,1474403077.0,111365415.0,463457,46249,0.0008036438510014351,1
468,129,1532645.0,24525.0,19101,213,0.0007466983338731153,0
12,2,327099.0,2566.0,1061,3,0.0,0
1,1,514.0,8046.0,1,22,0.0,0
1,4,2052.0,52466.0,2,90,0.16666666666666666,0
11,17,1209292.0,270676.0,1456,358,0.0,0
4,18,49840.0,1768053.0,109,1173,0.005847953216374269,0
6,24,18534.0,418530.0,15,546,0.006153846153846154,0
10,17,361766.0,1307855.0,316,748,0.025974025974025976,0
7,19,1660772.0,317252.0,635,235,0.025362318840579712,0
8,10,21242.0,714248.0,62,865,0.10833333333333334,0
8,15,126764.0,473118.0,165,625,0.023391812865497075,0
3,5,5487.0,354225.0,7,145,0.0,0
11,18,93309.0,2929360.0,80,927,0.0,0
4,6,83584.0,726568.0,15,560,0.0,0
7,15,913310.0,704165.0,174,1112,0.0,0
9,13,61274.0,1642356.0,106,612,0.011695906432748537,0
6,10,848694.0,2481110.0,254,1244,0.0,0
8,18,145771.0,1786098.0,341,645,0.09090909090909091,0
5,18,370205.0,2535994.0,91,717,0.021052631578947368,0
12,23,345669.0,2348216.0,160,1493,0.015873015873015872,0
5,11,3443600.0,1097615.0,522,724,0.0,0
5,12,714863.0,3068295.0,1084,1095,0.06593406593406594,0
2,14,2406.0,489252.0,5,1035,0.0380952380952381,0
13,15,1690866.0,289278.0,1515,302,0.0,0
8,11,44842.0,356604.0,16,184,0.0,0
5,7,7676.0,479215.0,20,606,0.03571428571428571,0
5,18,32756.0,557831.0,89,403,0.06315789473684211,0
4,11,133759.0,1989994.0,152,1077,0.015151515151515152,0
8,16,17335.0,1044500.0,48,480,0.02631578947368421,0
4,12,25474.0,2763580.0,17,262,0.0,0
4,9,216610.0,515388.0,195,250,0.022222222222222223,0
8,12,52097.0,1118226.0,63,748,0.0,0
