,source,target,Total,Count
0,1133846,4876,227,21
1,4876,134525,16214,116
2,4876,134568,16,1
3,4876,134567,105,1
4,4876,134552,22,1
5,4876,134630,6,1
6,4876,134514,11,1
7,4876,134629,467,3
8,4876,1324,96,1
9,4876,134537,150,1
10,1230709,4876,217,20
11,823844,4876,197,18
12,35752,4876,109,1
13,1617270,4876,141,17
14,1308332,4876,130,1
15,134567,4876,1288,15
16,257902,4876,95,15
17,610405,4876,135,13
18,1330501,4876,382,4
19,524357,4876,69,1
20,134552,4876,2637,14
21,134552,10012,3250,1
22,1333172,4876,95,1
23,1273087,4876,165,16
24,134630,4876,386,18
25,64657,4876,477,43
26,1075157,4876,185,18
27,640359,4876,3274,9
28,837396,4876,209,24
29,420705,4876,286,4
30,1174891,4876,169,19
31,266495,4876,505,7
32,134514,4876,967,75
33,116876,4876,493,38
34,1498125,4876,83,13
35,134629,4876,467,3
36,134629,10612,198,2
37,279880,4876,1818,8
38,279880,7072,2808,24
39,678102,4876,1071,18
40,382229,4876,749,23
41,382229,4985,4405,1
42,1449264,4876,1565,11
43,1351184,4876,2486,31
44,134537,4876,529,27
45,871623,4876,921,18
46,35825,4876,95,1
47,14668,524357,152,1
48,14668,194599,103,1
49,14668,524369,10,1
50,14668,524380,487,5
51,14668,14667,22,2
52,14668,524407,22,2
53,14668,524405,100,1
54,14668,524453,22,2
55,14668,524387,9,1
56,14668,524376,11,1
57,14668,524379,11,1
58,14668,524422,11,1
59,14668,524434,103,1
60,14668,524340,22,2
61,14668,524338,11,1
62,14668,524457,304,2
63,14668,524396,11,1
64,14668,524447,11,1
65,14668,301874,604,3
66,14668,464127,22,2
67,14668,524367,4309,2
68,14668,193244,76,1
69,937428,14668,1964,9
70,194599,9318,122,1
71,524369,14668,533,51
72,524369,5346,38,1
73,581597,14668,22,2
74,524380,14668,671,9
75,1526145,14668,1022,7
76,14667,14668,20,2
77,1620240,14668,1548,41
78,524407,14668,52,5
79,524405,14668,1385,11
80,141947,14668,11,1
81,524453,14668,22,2
82,536045,14668,32,3
83,524387,14668,1367,19
84,926277,14668,27,1
85,1015025,14668,152,1
86,1543259,14668,1032,8
87,524434,14668,103,1
88,524340,14668,55,5
89,524457,14668,152,1
90,495753,14668,1251,24
91,301874,14668,5436,93
92,464127,14668,15,2
93,524367,14668,5128,31
94,590332,14668,1390,14
95,1505866,14668,22,2
96,193244,14668,3667,77
97,193244,4985,874,2
98,9318,10193,428,1
99,9318,4754,1432,22
100,9318,6449,177,1
101,9318,13579,93889,44
102,9318,13614,2875,3
103,1157328,9318,249,1
104,1305688,9318,285,1
105,1275418,9318,413,3
106,1340339,9318,81,1
107,1007856,9318,171,1
108,20729,9318,173155,262
109,20729,8467,307852,269
110,20729,64728,46651,140
111,20729,18472,222358,265
112,20729,37886,798200,246
113,20729,210782,25293,56
114,20729,87054,34497,115
115,20729,30290,966728,380
116,20729,2155,479032,526
117,20729,5007,4814,32
118,20729,295,1446382,841
119,20729,10796,2025347,341
120,20729,209826,71693,56
121,20729,210857,1234166,400
122,20729,69107,385315,330
123,20729,9116,858,8
124,20729,8541,2777353,428
125,20729,61648,210251,88
126,20729,59372,330305,251
127,20729,652,124003,126
128,20729,6624,326121,153
129,20729,70082,1546825,785
130,20729,27754,56862,55
131,20729,81839,8353606,330
132,20729,89556,475852,469
133,20729,210692,5277,25
134,20729,152219,843336,500
135,20729,4624,182717,198
136,20729,85272,1453844,678
137,20729,20592,338934,254
138,20729,210748,309280,429
139,20729,210807,29552,316
140,20729,74655,453133,336
141,20729,17312,1681325,1022
142,20729,10349,1066608,302
143,20729,75158,6669626,755
144,20729,1047,93646,207
145,20729,210656,34995,37
146,20729,23526,271554,491
147,20729,73872,1797465,718
148,20729,4333,1103905,750
149,20729,10847,6650,1
150,20729,31536,454721,285
151,20729,38182,1631893,619
152,20729,18359,181033,526
153,20729,36900,40495,144
154,20729,4885,286349,320
155,20729,4650,192677,263
156,20729,1491,616461,826
157,20729,16118,6450,2
158,20729,143238,26288,14
159,20729,3969,60238,73
160,20729,10425,1047373,459
161,20729,57110,65000,543
162,20729,37956,343171,427
163,20729,21946,55645,60
164,20729,14641,1337971,818
165,20729,41965,647083,322
166,20729,23116,510118,542
167,20729,68219,41768,142
168,20729,88519,306611,27
169,20729,12236,125502,490
170,20729,5278,483762,685
171,20729,36388,53442,215
172,20729,2662,53881,144
173,20729,8344,93697,117
174,10193,9318,428,1
175,10193,18099,22,1
176,10193,85320,53711,32
177,10193,36397,125749,108
178,10193,140307,9,1
179,10193,31914,30,2
180,10193,3994,121101,325
181,10193,4931,785,1
182,10193,274740,250,1
